id,russian,type,gender,aspect,english,archived
1,и,conjunction,,,and,FALSE
2,в,preposition,,,in; into,FALSE
3,не,particle,,,not,FALSE
4,он,pronoun,,,he,FALSE
5,на,preposition,,,on; at; to,FALSE
6,я,pronoun,,,I,FALSE
7,что,conjunction,,,that; what,FALSE
8,тот,pronoun,,,that,FALSE
9,быть,verb,,imperfective,to be,FALSE
10,с,preposition,,,with; from,FALSE
11,а,conjunction,,,but; and,FALSE
12,весь,adjective,,,all; entire,FALSE
13,э́то,pronoun,,,this,FALSE
14,как,adverb,,,how; as,FALSE
15,она́,pronoun,,,she,FALSE
16,по,preposition,,,along; by; at,FALSE
17,но,conjunction,,,but,FALSE
18,они́,pronoun,,,they,FALSE
19,к,preposition,,,to; towards,FALSE
20,у,preposition,,,at; by (possesion),FALSE
21,из,preposition,,,from; out of,FALSE
22,мы,pronoun,,,we,FALSE
23,за,preposition,,,behind; beyond; for,FALSE
24,ты,pronoun,,,you (sing. informal),FALSE
25,вы,pronoun,,,you (pl. formal),FALSE
26,так,adverb,,,so; thus,FALSE
27,же,particle,,,also; indeed,FALSE
28,сказа́ть,verb,,perfective,to say,FALSE
29,от,preposition,,,from; away from,FALSE
30,э́тот,adjective,,,this; that (adj),FALSE
31,кото́рый,pronoun,,,which; who,FALSE
32,мочь,verb,,imperfective,to be able to; can,FALSE
33,о,preposition,,,about; of,FALSE
34,челове́к,noun,masculine,,person; man,FALSE
35,оди́н,num,,,one,FALSE
36,ещё,adverb,,,still; yet; more,FALSE
37,бы,particle,,,would (particle),FALSE
38,тако́й,adjective,,,such; that kind of,FALSE
39,то́лько,particle,,,only; just,FALSE
40,себя́,pronoun,,,oneself,FALSE
41,своё,pronoun,,,one's own,FALSE
42,како́й,adjective,,,what kind of; which,FALSE
43,для,preposition,,,for,FALSE
44,уже́,adverb,,,already,FALSE
45,когда́,adverb,,,when,FALSE
46,кто,pronoun,,,who,FALSE
47,вот,particle,,,here,FALSE
48,да,particle,,,yes,FALSE
49,год,noun,masculine,,year,FALSE
50,знать,verb,,imperfective,to know,FALSE
51,е́сли,conjunction,,,if,FALSE
52,до,preposition,,,until; before; up to,FALSE
53,говори́ть,verb,,imperfective,to speak; to talk,FALSE
54,и́ли,conjunction,,,or,FALSE
55,мой,adjective,,,my,FALSE
56,вре́мя,noun,neuter,,time,FALSE
57,рука́,noun,feminine,,hand; arm,FALSE
58,са́мый,adjective,,,the most; the very,FALSE
59,нет,particle,,,no; not,FALSE
60,ни,particle,,,neither; not even,FALSE
61,стать,verb,,perfective,to become,FALSE
62,большо́й,adjective,,,big; large,FALSE
63,наш,adjective,,,our,FALSE
64,да́же,particle,,,even,FALSE
65,друго́й,adjective,,,other; another; different,FALSE
66,свой,adjective,,,one's own,FALSE
67,де́ло,noun,neuter,,matter; affair; thing,FALSE
68,под,preposition,,,under; below,FALSE
69,где,adverb,,,where,FALSE
70,что́бы,conjunction,,,in order that; so that,FALSE
71,ну,particle,,,well; come on,FALSE
72,сам,pronoun,,,oneself; himself,FALSE
73,есть,verb,,imperfective,to eat; to be (there is),FALSE
74,раз,noun,masculine,,time; occasion,FALSE
75,два,num,,,two,FALSE
76,чем,conjunction,,,than,FALSE
77,там,adverb,,,there,FALSE
78,глаз,noun,masculine,,eye,FALSE
79,пе́рвый,adjective,,,first,FALSE
80,день,noun,masculine,,day,FALSE
81,жизнь,noun,feminine,,life,FALSE
82,во,preposition,,,in; into (variant of в),FALSE
83,тут,adverb,,,here,FALSE
84,ничто́,pronoun,,,nothing,FALSE
85,пото́м,adverb,,,afterwards; then,FALSE
86,со,preposition,,,with (variant of с),FALSE
87,о́чень,adverb,,,very,FALSE
88,ли,particle,,,whether,FALSE
89,при,preposition,,,under; at; near,FALSE
90,хоте́ть,verb,,imperfective,to want,FALSE
91,на́до,preposition,,,it is necessary; must,FALSE
92,голова́,noun,feminine,,head,FALSE
93,без,preposition,,,without,FALSE
94,ви́деть,verb,,imperfective,to see,FALSE
95,тепе́рь,adverb,,,now; nowadays,FALSE
96,идти́,verb,,imperfective,to go (on foot),FALSE
97,друг,noun,masculine,,friend,FALSE
98,сейча́с,adverb,,,now; right now,FALSE
99,стоя́ть,verb,,imperfective,to stand,FALSE
100,дом,noun,masculine,,house; home,FALSE
101,то́же,adverb,,,also; too,FALSE
102,по́сле,preposition,,,after,FALSE
103,мо́жно,adverb,,,one may; it is possible,FALSE
104,сло́во,noun,neuter,,word,FALSE
105,че́рез,preposition,,,through; across,FALSE
106,ме́сто,noun,neuter,,place,FALSE
107,ду́мать,verb,,imperfective,to think,FALSE
108,здесь,adverb,,,here,FALSE
109,спроси́ть,verb,,perfective,to ask,FALSE
110,лицо́,noun,neuter,,face,FALSE
111,тогда́,adverb,,,then; at that time,FALSE
112,что,pronoun,,,what,FALSE
113,должн́ый,adjective,,,must; ought to,FALSE
114,ведь,particle,,,after all; you see,FALSE
115,но́вый,adjective,,,new,FALSE
116,ка́ждый,adjective,,,every; each,FALSE
117,хоро́ший,adjective,,,good; fine,FALSE
118,жить,verb,,imperfective,to live,FALSE
119,почему́,adverb,,,why,FALSE
120,потому́,adverb,,,therefore; that is why,FALSE
121,сторона́,noun,feminine,,side,FALSE
122,смотре́ть,verb,,imperfective,to look; to watch,FALSE
123,име́ть,verb,,imperfective,to have,FALSE
124,про́сто,adverb,,,simply; just,FALSE
125,поня́ть,verb,,perfective,to understand,FALSE
126,сиде́ть,verb,,imperfective,to sit,FALSE
127,об,preposition,,,about (variant of о),FALSE
128,нога́,noun,feminine,,leg; foot,FALSE
129,де́лать,verb,,imperfective,to do; to make,FALSE
130,сде́лать,verb,,perfective,to do; to make (done),FALSE
131,вдруг,adverb,,,suddenly,FALSE
132,никто́,pronoun,,,nobody,FALSE
133,рабо́та,noun,feminine,,work; job,FALSE
134,пе́ред,preposition,,,in front of; before,FALSE
135,ваш,adjective,,,your (pl. formal),FALSE
136,ну́жный,adjective,,,necessary; needed,FALSE
137,над,preposition,,,above; over,FALSE
138,взять,verb,,perfective,to take,FALSE
139,коне́чно,adverb,,,of course; certainly,FALSE
140,понима́ть,verb,,imperfective,to understand,FALSE
141,дверь,noun,feminine,,door,FALSE
142,каза́ться,verb,,imperfective,to seem,FALSE
143,три,num,,,three,FALSE
144,коне́ц,noun,masculine,,end,FALSE
145,го́род,noun,masculine,,city; town,FALSE
146,не́сколько,adverb,,,several; a few,FALSE
147,нача́ть,verb,,perfective,to begin; to start,FALSE
148,го́лос,noun,masculine,,voice,FALSE
149,час,noun,masculine,,hour,FALSE
150,пока́,adverb,,,for now; while; so long,FALSE
151,уж,particle,,,already (particle),FALSE
152,после́дний,adjective,,,last,FALSE
153,бо́лее,adverb,,,more,FALSE
154,земля́,noun,feminine,,earth; land; ground,FALSE
155,хорошо́,adverb,,,well; fine; good,FALSE
156,хотя́,conjunction,,,although; though,FALSE
157,си́ла,noun,feminine,,strength; force,FALSE
158,вода́,noun,feminine,,water,FALSE
159,второ́й,adjective,,,second,FALSE
160,уви́деть,verb,,perfective,to see; catch sight of,FALSE
161,всегда́,adverb,,,always,FALSE
162,дава́ть,verb,,imperfective,to give; to let,FALSE
163,слу́чай,noun,masculine,,case; occasion; chance,FALSE
164,куда́,adverb,,,where (to); whither,FALSE
165,пойти́,verb,,perfective,to go (set off on foot),FALSE
166,стол,noun,masculine,,table,FALSE
167,маши́на,noun,feminine,,car; machine,FALSE
168,мир,noun,masculine,,world; peace,FALSE
169,ночь,noun,feminine,,night,FALSE
170,же́нщина,noun,feminine,,woman,FALSE
171,оста́ться,verb,,perfective,to stay; to remain,FALSE
172,сра́зу,adverb,,,at once; immediately,FALSE
173,совсе́м,adverb,,,completely; quite,FALSE
174,ребёнок,noun,masculine,,child,FALSE
175,вы́йти,verb,,perfective,to go out; to exit,FALSE
176,вид,noun,masculine,,appearance; view; type,FALSE
177,отец,noun,masculine,,father,FALSE
178,вопро́с,noun,masculine,,question,FALSE
179,дать,verb,,perfective,to give,FALSE
180,рабо́тать,verb,,imperfective,to work,FALSE
181,оказа́ться,verb,,perfective,to turn out,FALSE
182,ряд,noun,masculine,,row; number; series,FALSE
183,почти́,adverb,,,almost; nearly,FALSE
184,снова,adverb,,,again,FALSE
185,ста́рый,adjective,,,old,FALSE
186,страна́,noun,feminine,,country,FALSE
187,твой,adjective,,,your (sing. inf.),FALSE
188,ме́жду,preposition,,,between; among,FALSE
189,отве́тить,verb,,perfective,to answer; to reply,FALSE
190,мно́го,adverb,,,much; many; a lot,FALSE
191,война́,noun,feminine,,war,FALSE
192,поду́мать,verb,,perfective,to think (briefly),FALSE
193,де́ньги,noun,plural,,money,FALSE
194,люби́ть,verb,,imperfective,to love,FALSE
195,зна́чить,verb,,imperfective,to mean; to signify,FALSE
196,бе́лый,adjective,,,white,FALSE
197,гла́вный,adjective,,,main; chief,FALSE
198,мину́та,noun,feminine,,minute,FALSE
199,лишь,particle,,,only; merely,FALSE
200,това́рищ,noun,masculine,,comrade; friend,FALSE
201,опя́ть,adverb,,,again; once more,FALSE
202,ждать,verb,,imperfective,to wait,FALSE
203,одна́ко,conjunction,,,however; nevertheless,FALSE
204,пра́вда,noun,feminine,,truth,FALSE
205,посмотре́ть,verb,,perfective,to look; to have a look,FALSE
206,про,preposition,,,about; concerning,FALSE
207,никогда́,adverb,,,never,FALSE
208,бу́дто,conjunction,,,as if; as though,FALSE
209,часть,noun,feminine,,particle,FALSE
210,и́менно,particle,,,namely; precisely,FALSE
211,найти́,verb,,perfective,to find,FALSE
212,доро́га,noun,feminine,,road,FALSE
213,свет,noun,masculine,,light,FALSE
214,жена́,noun,feminine,,wife,FALSE
215,никако́й,adjective,,,no kind of; none,FALSE
216,лежа́ть,verb,,imperfective,to lie (down),FALSE
217,окно́,noun,neuter,,window,FALSE
218,росси́я,noun,feminine,,Russia,FALSE
219,мать,noun,feminine,,mother,FALSE
220,реши́ть,verb,,perfective,to decide; to solve,FALSE
221,получи́ть,verb,,perfective,to receive; to get,FALSE
222,москва́,noun,feminine,,Moscow,FALSE
223,писа́ть,verb,,imperfective,to write,FALSE
224,у́лица,noun,feminine,,street,FALSE
225,верну́ться,verb,,perfective,to return,FALSE
226,вообще́,adverb,,,in general; altogether,FALSE
227,не́который,adjective,,,some; certain,FALSE
228,далёкий,adjective,,,distant; far,FALSE
229,ма́ленький,adjective,,,small; little,FALSE
230,счита́ть,verb,,imperfective,to consider; to count,FALSE
231,ко́мната,noun,feminine,,room,FALSE
232,у́тро,noun,neuter,,morning,FALSE
233,сове́тский,adjective,,,Soviet,FALSE
234,ве́чер,noun,masculine,,evening,FALSE
235,сего́дня,adverb,,,today,FALSE
236,душа́,noun,feminine,,soul,FALSE
237,кни́га,noun,feminine,,book,FALSE
238,плечо́,noun,neuter,,shoulder,FALSE
239,вме́сте,adverb,,,together,FALSE
240,таки́,particle,,,still; all the same,FALSE
241,чуть,adverb,,,slightly; a little; barely,FALSE
242,пол,noun,masculine,,floor; gender,FALSE
243,по́мнить,verb,,imperfective,to remember,FALSE
244,ско́лько,num,,,how much; how many,FALSE
245,наро́д,noun,masculine,,people; nation; folk,FALSE
246,хоть,conjunction,,,even though; at least,FALSE
247,взгляд,noun,masculine,,glance; look; view,FALSE
248,ру́сский,adjective,,,Russian,FALSE
249,заче́м,adverb,,,why; what for,FALSE
250,исто́рия,noun,feminine,,history; story,FALSE
251,по́лный,adjective,,,full; complete,FALSE
252,узна́ть,verb,,perfective,to find out; to learn,FALSE
253,любой,adjective,,,any; every,FALSE
254,бог,noun,masculine,,God,FALSE
255,прийти́,verb,,perfective,to come; to arrive (on foot),FALSE
256,ходи́ть,verb,,imperfective,to go; to walk,FALSE
257,заме́тить,verb,,perfective,to notice,FALSE
258,изве́стный,adjective,,,well-known; famous,FALSE
259,па́лец,noun,masculine,,finger; toe,FALSE
260,сло́вно,conjunction,,,as if; like,FALSE
261,наконе́ц,adverb,,,at last; finally,FALSE
262,о́бщий,adjective,,,general; common,FALSE
263,и́мя,noun,neuter,,name,FALSE
264,наза́д,adverb,,,ago; backwards; back,FALSE
265,быва́ть,verb,,imperfective,to happen,FALSE
266,мысль,noun,feminine,,thought,FALSE
267,слы́шать,verb,,imperfective,to hear,FALSE
268,уйти́,verb,,perfective,to leave; to go away,FALSE
269,про́шлый,adjective,,,past; former,FALSE
270,боя́ться,verb,,imperfective,to be afraid; to fear,FALSE
271,бы́стро,adverb,,,quickly; fast,FALSE
